date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,rateYTD),5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2013-02-22,266.65,269.75,266.35,268.05,0.18,1.9,1.12,6.29,4.33,-0.48,-0.48,2024.64,1981.91,2005.3,2024.64,1931.77,1967.3,2031.1,1908.51,1973.58,2031.1,1860.83,1954.4,2049.28,1769.31,1936.42,38.60646554,0.798266898,1.758012821,-1.04747151,2.80548433,1976.356164,1958.243836,-17.91450415,99.84515449,0.118408796,191.4893617,860,0.009206693,268.05
2013-02-25,267.85,268.75,266.35,266.85,-0.46,1.39,3.23,5.14,4.67,-0.51,-0.51,2024.64,1985.83,2010.82,2024.64,1931.77,1970.44,2031.1,1912.78,1975.26,2031.1,1860.83,1955.25,2049.28,1769.31,1936.09,43.43075334,0.832911392,2.662820513,-0.387998575,3.050819088,1979.866134,1961.013866,-17.92742543,100.0553228,0.120397396,185.3092784,1006.153846,0.009567542,266.85
2013-02-26,264.55,266.4,264.05,265.75,-0.47,0.71,2.74,4.79,4.18,-0.98,-0.98,2024.64,2000.01,2013.66,2024.64,1931.77,1973.45,2031.1,1912.78,1976.51,2031.1,1860.83,1956.05,2049.28,1769.31,1936.35,42.63515574,0.8049633,3.235897436,0.267663818,2.968233618,1983.109628,1963.790372,-17.93926995,100.2462152,0.121131649,184.0206186,510.2564103,0.009789585,265.75
2013-02-27,266.15,266.65,264.65,265.6,0.2,-1.02,2.95,4.1,4.49,0.65,0.65,2018.89,2000.01,2009.54,2024.64,1931.77,1975.86,2031.1,1931.77,1978.03,2031.1,1860.83,1956.81,2049.28,1769.31,1936.4,42.34645912,0.8049633,3.869551282,0.941737892,2.92781339,1985.732208,1965.987792,-17.94088511,100.3920955,0.120809242,180.8290155,449.6062992,0.009992822,265.6
2013-02-28,267.45,269.7,267.25,268.55,1.12,0.56,4.47,5.94,5.75,1.14,1.14,2026.49,2000.01,2011.79,2026.49,1931.77,1978.96,2031.1,1931.77,1979.56,2031.1,1860.83,1957.8,2049.28,1769.31,1936.11,38.35334571,0.799063738,4.580448718,1.647008547,2.933440171,1989.288615,1968.631385,-17.55933277,100.5578559,0.12426405,191.5567282,937.1428571,0.010438427,268.55
2013-03-01,267.45,269.7,267.25,268.55,1.12,0.56,4.47,5.94,5.75,1.14,1.14,2026.49,2000.01,2011.79,2026.49,1931.77,1978.96,2031.1,1931.77,1979.56,2031.1,1860.83,1957.8,2049.28,1769.31,1936.11,38.35334571,0.799063738,4.821153846,2.331517094,2.489636752,1989.589695,1968.330305,-17.55933277,100.5591844,0.124000537,233.9563863,608.490566,0.010742709,268.55
2013-03-04,268.3,269.05,265.8,266.2,-0.66,0.18,3.07,4.03,5.56,-1.06,-1.06,2026.49,2000.01,2010.64,2026.49,1931.77,1981.52,2031.1,1931.77,1980.9,2031.1,1860.83,1958.96,2049.28,1769.31,1936.03,36.44815009,0.745882353,4.75224359,2.946260684,1.805982906,1991.981573,1971.058427,-17.58414274,100.6766326,0.128134209,229.1793313,471.2121212,0.010559139,266.2
2013-03-05,267.35,269.6,266.7,266.95,0.17,0.83,4.05,3.57,7.61,0.03,0.03,2026.49,2000.01,2012.06,2026.49,1931.77,1984.46,2031.1,1931.77,1982.17,2031.1,1860.83,1960.09,2049.28,1769.31,1936.03,36.65201139,0.688760807,4.725961538,3.471652422,1.254309117,1994.356851,1974.563149,-17.57622466,100.7981731,0.122060382,245.4258675,1027.536232,0.009974352,266.95
2013-03-06,269.35,269.8,266.55,266.95,0.2,0.83,4.37,3.65,7.42,1.02,1.02,2026.49,2004.04,2016.21,2026.49,1931.77,1987.84,2031.1,1931.77,1983.6,2031.1,1860.83,1960.85,2049.28,1769.31,1936.11,39.2916066,0.709677419,4.790064103,3.910683761,0.879380342,1996.88662,1978.79338,-17.57622466,100.9262045,0.121670694,224.2857143,1965.789474,0.00910196,266.95
2013-03-07,266.45,267.15,264.15,264.35,-0.81,-1.09,3.76,2.4,3.88,1.12,1.12,2026.49,2004.4,2016.28,2026.49,1931.77,1991.15,2031.1,1931.77,1984.56,2031.1,1860.83,1961.51,2049.28,1769.31,1936.2,38.66932877,0.639004149,4.696153846,4.237143875,0.459009972,1998.899017,1983.400983,-17.60367399,101.0324731,0.128872313,204.787234,1275,0.007783459,264.35
2013-03-08,264.35,265.4,263.3,264.45,0.08,-1.01,2.82,2.48,3.96,0.26,0.26,2020.74,2004.4,2012.18,2026.49,1931.77,1994.64,2031.1,1931.77,1985.5,2031.1,1860.83,1962.23,2049.28,1769.31,1936.22,40.10982567,0.569230769,4.117628205,4.398789174,-0.281160969,2001.67682,1987.60318,-17.60261824,101.1329185,0.121141191,180.6122449,1344.897959,0.00705573,264.45
2013-03-11,263.95,265.05,261.25,264.15,-0.13,-0.49,2.69,1.97,4.34,-0.74,-0.74,2020.74,2003.35,2010.22,2026.49,1945.79,1998.22,2031.1,1931.77,1986.26,2031.1,1860.83,1962.67,2049.28,1769.31,1936.16,41.14557128,0.617918314,3.599358974,4.439173789,-0.839814815,2004.384977,1992.055023,-20.83816605,101.2285913,0.121375201,146.7120181,-3505.263158,0.006170469,264.15
2013-03-12,264.85,265.2,261.65,261.9,-0.5,-1.15,2.44,0.91,2.22,-0.46,-0.46,2020.74,1993.34,2005.57,2026.49,1945.79,2000.34,2031.1,1931.77,1986.86,2031.1,1860.83,1963.03,2049.28,1769.31,1936.12,42.83223701,0.453865337,2.87724359,4.328917379,-1.451673789,2005.359381,1995.320619,-20.86604709,101.2369303,0.125598173,136.1344538,-2190.322581,0.005018528,261.9
2013-03-13,261.9,263.35,261.25,262.35,0.32,-1.04,1.2,-0.15,2.51,-1.25,-1.25,2006.01,1993.34,2001.37,2026.49,1976.07,2003.04,2031.1,1931.77,1987.44,2031.1,1860.83,1962.96,2049.28,1769.31,1936.02,43.41801402,0.412979351,2.190705128,4.063390313,-1.872685185,2007.907173,1998.172827,-33.9888933,101.2666675,0.108768454,123.6024845,-4080,0.004859786,262.35
2013-03-14,262.2,262.6,259.3,262.5,0.12,-0.11,1.14,0.36,-0.27,-2.1,-2.1,2006.01,1993.34,2000.91,2026.49,1979.61,2004.34,2031.1,1931.77,1987.89,2031.1,1860.83,1962.96,2049.28,1769.31,1935.85,41.60460317,0.382371198,1.591025641,3.704487179,-2.113461538,2009.175861,1999.504139,-36.62777304,101.2225959,0.108035026,108.5388994,-6455.555556,0.00482539,262.5
